author_id,Author Name,co_author_id,count
2279753241,Jonathan Boisvert,2342072736,1
2279753241,Jonathan Boisvert,2325652525,1
2279753241,Jonathan Boisvert,2340514086,1
2279753241,Jonathan Boisvert,2325738711,1
2326656480,Jonathan Boisvert,2573886,2
2326656480,Jonathan Boisvert,2373415264,1
2326656480,Jonathan Boisvert,3412981,1
2326656480,Jonathan Boisvert,2285403447,1
2326656480,Jonathan Boisvert,3163125,1
2351185141,Jonathan Boisvert,91546223,2
2351185141,Jonathan Boisvert,2252178959,2
2351185141,Jonathan Boisvert,3486551,2
2351185141,Jonathan Boisvert,144787010,2
2351185141,Jonathan Boisvert,2317230550,1
2351185141,Jonathan Boisvert,1395779445,1
2351185141,Jonathan Boisvert,2317235601,1
